,PB030: PERSONAL ID,PB020: COUNTRY,PB010: YEAR OF THE SURVEY,PB140: YEAR OF BIRTH,PB150: SEX,PB190: MARITAL STATUS,PB200: CONSENSUAL UNION,PB220A: CITIZENSHIP,PE010: CURRENT EDUCATION ACTIVITY,PE040: HIGHEST ISCED LEVEL ATTAINED,PL031: SELF-DEFINED CURRENT ECONOMIC STATUS,PL035: WORKED AT LEAST 1 HOUR DURING THE PREVIOUS WEEK,PL051: OCCUPATION (ISCO-08 (COM)),PL150: MANAGERIAL POSITION,PH010: GENERAL HEALTH,PH020: SUFFER FROM ANY A CHRONIC (LONG-STANDING) ILLNESS OR CONDITION,PH030: LIMITATION IN ACTIVITIES BECAUSE OF HEALTH PROBLEMS,PH040: UNMET NEED FOR MEDICAL EXAMINATION OR TREATMENT,PH060: UNMET NEED FOR DENTAL EXAMINATION OR TREATMENT,PY010G_PY020G_PY021G_PY050G: EMPLOYEE INCOME,PY035G: CONTRIBUTIONS TO INDIVIDUAL PRIVATE PENSION PLANS,PY080G: PENSION FROM INDIVIDUAL PRIVATE PLANS,PY090G++: SOCIAL BENEFITS,PY090G: UNEMPLOYMENT BENEFITS,PY100G: OLD-AGE BENEFITS,PY110G: SURVIVOR’ BENEFITS,PY120G: SICKNESS BENEFITS,PY130G: DISABILITY BENEFITS,PY140G: EDUCATION-RELATED ALLOWANCES,PD020: Replace worn-out clothes by some new (not second-hand) ones,PD030: Two pairs of properly fitting shoes,PD050: Get-together with friends/family (relatives) for a drink/meal at least once a month,PD060: Regularly participate in a leisure activity,PD070: Spend a small amount of money each week on yourself,PD080: Internet connection for personal use at home,PW020: MEANING OF LIFE
383,9113601,DE,2013,1969,2,1.0,3,LOC,2,5.0,1.0,1,41.0,1.0,2.0,2.0,3.0,2,2,28240.17,0,0.0,164.73,0.0,0.0,0.0,164.73,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,9.0
384,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
385,9119701,DE,2013,1942,2,2.0,1,LOC,2,3.0,7.0,1,52.0,2.0,5.0,2.0,3.0,2,2,0.0,0,0.0,4610.13,0.0,4610.13,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0
386,9119702,DE,2013,1940,1,1.0,1,LOC,2,5.0,7.0,1,31.0,2.0,3.0,2.0,3.0,2,2,0.0,1231,0.0,23333.91,0.0,23333.91,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,99.0
387,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
388,9131302,DE,2013,1995,2,1.0,1,LOC,2,2.0,2.0,2,54.0,2.0,2.0,8.0,3.0,1,2,7634.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0
389,9139001,DE,2013,1935,2,2.0,1,LOC,2,3.0,7.0,2,42.0,2.0,2.0,1.0,3.0,2,2,0.0,0,0.0,4937.59,0.0,4731.43,206.16,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0
390,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
391,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
392,9268402,DE,2013,1944,2,2.0,1,LOC,2,3.0,7.0,2,23.0,2.0,3.0,2.0,3.0,2,2,0.0,0,0.0,4452.28,0.0,4452.28,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,7.0
393,9276001,DE,2013,1951,2,2.0,3,LOC,2,5.0,7.0,1,33.0,0.0,3.0,2.0,2.0,2,2,0.0,0,0.0,17474.54,0.0,2994.24,14480.3,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0
394,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
395,9347401,DE,2013,1951,1,2.0,1,LOC,2,5.0,7.0,1,23.0,1.0,3.0,1.0,3.0,2,2,0.0,0,0.0,43368.11,0.0,43368.11,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,8.0
396,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
397,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
399,9422201,DE,2013,1960,1,5.0,1,LOC,2,2.0,1.0,1,93.0,1.0,3.0,2.0,3.0,1,2,36969.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,99.0
400,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
401,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
402,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
403,9433401,DE,2013,1937,1,5.0,3,LOC,2,2.0,7.0,1,81.0,1.0,4.0,2.0,3.0,2,2,0.0,250,0.0,2136.19,0.0,2136.19,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,7.0
404,9433402,DE,2013,1944,2,5.0,1,LOC,2,2.0,7.0,2,33.0,2.0,2.0,2.0,2.0,2,2,0.0,0,0.0,21282.33,0.0,21282.33,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,9.0
405,9546001,DE,2013,1980,1,1.0,3,LOC,2,5.0,1.0,1,33.0,2.0,2.0,1.0,3.0,2,2,0.0,0,0.0,49776.59,0.0,0.0,0.0,0.0,0.0,49776.59,1.0,1.0,2.0,2.0,2.0,1.0,8.0
406,4,4,4,4,4,4.0,4,4,4,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4,4,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
407,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
409,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
410,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
411,9730401,DE,2013,1959,2,2.0,2,LOC,2,3.0,4.0,1,32.0,2.0,2.0,2.0,3.0,2,2,14459.53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0
412,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
413,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
414,9774502,DE,2013,1960,2,2.0,3,LOC,2,3.0,1.0,1,52.0,1.0,2.0,2.0,3.0,2,2,62712.59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
415,9775801,DE,2013,1933,1,2.0,1,LOC,2,2.0,7.0,1,41.0,2.0,2.0,2.0,2.0,2,2,0.0,900,0.0,28615.06,0.0,28615.06,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0
416,9775802,DE,2013,1942,2,2.0,1,LOC,1,2.0,7.0,1,91.0,2.0,2.0,2.0,3.0,2,2,0.0,2850,0.0,1285.84,0.0,1285.84,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,8.0
417,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
418,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
419,9866001,DE,2013,1942,1,2.0,1,LOC,2,3.0,7.0,2,91.0,2.0,3.0,2.0,2.0,2,2,11558.0,0,0.0,15826.9,0.0,15826.9,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0
420,9866002,DE,2013,1945,2,5.0,1,LOC,2,2.0,7.0,2,52.0,2.0,3.0,2.0,2.0,2,2,0.0,0,0.0,36367.97,0.0,36367.97,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0
421,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
422,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
423,9898201,DE,2013,1956,2,4.0,3,LOC,2,3.0,2.0,1,96.0,2.0,3.0,1.0,3.0,2,2,49765.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
424,9898202,DE,2013,1989,1,1.0,3,LOC,2,2.0,1.0,1,54.0,1.0,3.0,1.0,3.0,2,2,13817.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0
426,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
427,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
428,9971102,DE,2013,1969,2,2.0,1,OTH,2,5.0,2.0,1,23.0,2.0,2.0,1.0,3.0,2,2,16764.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0
429,9971801,DE,2013,1937,1,2.0,1,LOC,2,5.0,7.0,2,72.0,2.0,1.0,2.0,3.0,2,2,0.0,4305,0.0,30892.57,0.0,30892.57,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0
430,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
431,9976901,DE,2013,1942,2,4.0,3,LOC,2,2.0,7.0,2,33.0,1.0,2.0,2.0,3.0,2,2,0.0,0,0.0,26096.21,0.0,13876.56,12219.65,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,10.0
432,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
433,10033201,DE,2013,1948,2,2.0,2,LOC,2,3.0,7.0,1,71.0,2.0,2.0,8.0,8.0,2,2,0.0,120,0.0,7773.0,0.0,7773.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0
434,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
435,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
436,10063602,DE,2013,1980,2,2.0,3,LOC,2,4.0,2.0,1,32.0,2.0,2.0,1.0,3.0,1,2,23495.54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0
437,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
438,10082802,DE,2013,1978,2,2.0,3,LOC,2,3.0,2.0,2,31.0,1.0,3.0,1.0,3.0,2,2,13126.59,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,9.0
439,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
440,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
441,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
442,10160102,DE,2013,1937,1,2.0,3,LOC,1,3.0,7.0,1,81.0,1.0,2.0,1.0,3.0,2,2,0.0,2480,0.0,17166.79,0.0,17166.79,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0
443,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
444,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
445,10271501,DE,2013,1935,1,2.0,3,LOC,2,3.0,7.0,1,32.0,1.0,2.0,2.0,3.0,2,2,0.0,0,0.0,35331.93,0.0,35331.93,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0
446,10271502,DE,2013,1942,2,2.0,1,LOC,2,3.0,7.0,1,41.0,0.0,2.0,1.0,3.0,2,2,0.0,0,0.0,11028.12,0.0,11028.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
447,10285201,DE,2013,1979,1,2.0,3,LOC,2,3.0,1.0,1,52.0,2.0,2.0,2.0,2.0,2,2,42195.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
448,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
449,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
450,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
451,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
452,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
453,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
454,10312202,DE,2013,1938,2,2.0,1,LOC,2,3.0,7.0,1,41.0,1.0,3.0,2.0,3.0,2,2,7032.0,0,0.0,15778.3,0.0,15778.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
455,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
456,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
457,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
458,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
459,10529501,DE,2013,1959,1,2.0,1,LOC,2,5.0,1.0,1,31.0,2.0,2.0,2.0,3.0,2,2,64682.3,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
460,10529502,DE,2013,1962,2,2.0,1,LOC,2,5.0,1.0,1,33.0,2.0,2.0,2.0,3.0,2,2,55490.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0
461,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
462,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
463,4,4,4,4,4,4.0,4,4,4,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4,4,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
464,10611402,DE,2013,1951,2,2.0,1,LOC,2,3.0,7.0,1,93.0,2.0,2.0,1.0,3.0,1,2,0.0,0,0.0,27911.43,0.0,27911.43,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0
465,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
466,10622402,DE,2013,1989,2,1.0,1,LOC,2,2.0,1.0,1,53.0,2.0,3.0,2.0,1.0,2,2,7024.47,791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0
467,10634601,DE,2013,1979,1,2.0,3,OTH,2,5.0,1.0,1,22.0,1.0,2.0,1.0,2.0,2,2,61827.63,37,0.0,503.92,0.0,0.0,0.0,0.0,503.92,0.0,1.0,1.0,3.0,3.0,1.0,2.0,5.0
468,4,4,4,4,4,4.0,4,4,4,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4,4,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
469,10805201,DE,2013,1966,1,2.0,1,LOC,2,3.0,1.0,1,26.0,2.0,1.0,2.0,3.0,2,2,83420.41,2140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0
470,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
471,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
472,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
473,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
474,10841502,DE,2013,1940,2,1.0,2,LOC,2,2.0,7.0,1,33.0,2.0,5.0,1.0,3.0,2,2,0.0,0,0.0,4236.69,0.0,4236.69,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,99.0
475,10861201,DE,2013,1947,1,2.0,3,LOC,2,5.0,7.0,2,11.0,2.0,3.0,2.0,2.0,2,2,0.0,0,0.0,27024.18,0.0,8143.37,18880.81,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,8.0
476,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
477,10872201,DE,2013,1939,1,2.0,3,LOC,2,4.0,7.0,2,42.0,2.0,1.0,1.0,2.0,2,2,0.0,1568,0.0,24137.43,0.0,24137.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
478,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
479,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
480,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
481,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
482,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
483,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
484,10934502,DE,2013,1965,2,2.0,1,LOC,2,3.0,2.0,2,32.0,2.0,3.0,1.0,2.0,2,2,22418.58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0
485,10950201,DE,2013,1938,1,2.0,3,LOC,2,5.0,7.0,1,11.0,2.0,2.0,2.0,3.0,2,2,0.0,2730,0.0,42886.53,0.0,42886.53,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0
486,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
487,11036601,DE,2013,1947,1,2.0,2,LOC,2,3.0,7.0,2,33.0,2.0,3.0,2.0,3.0,2,2,12.0,0,0.0,5116.58,0.0,5116.58,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,10.0
488,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
489,99,99,99,99,99,99.0,99,99,99,99.0,99.0,99,99.0,99.0,99.0,99.0,99.0,99,99,99.0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
